№ в ГТИБД,Название,Класс,Кол-во комнат,Кол-во спальных мест,Адрес (ручной),Адрес (авто),Город (авто),Район,Округ,Улица,Номер дома,Ближайшее метро,Линия ближайшего метро,Расстояние до ближайшего метро (м),Широта ближайшего метро,Долгота ближайшего метро,Телефоны,Факсы,Официальный сайт,Электронная почта,Примечания,Услуги,Широта объекта,Долгота объекта
12473,СЧАСТЛИВЫЙ ПУШКИН,мини-отель,46,80,"190000, Санкт-Петербург, Галерная ул., 53","Санкт-Петербург, Галерная улица, 53",Санкт-Петербург,Адмиралтейский,,Галерная улица,53,Василеостровская,Невско-Василеостровская линия,,59.942516,30.278274,+7(812)7771799;,,http://happypushkin.com,booking@happypushkin.com,завтрак,"Дополнительная кровать в номер  /в сутки
Доп. кровать в номер для ребенка от 5 

Кроватка для ребенка до 2 лет
Дополнительный завтрак
Фрукты в номер

Цветы в номер
Украшение номера для новобрачных",59.931751,30.288353
12474,СЧАСТЬЕ,мини-отель,4,6,"191025, Санкт-Петербург, ул. Рубинштейна, 5 и ул. Рубинштейна, 26","Санкт-Петербург, улица Рубинштейна, 26",Санкт-Петербург,Центральный,,улица Рубинштейна,26,Достоевская,Правобережная линия,,59.928185,30.346204,+7(911)0111521 моб.;,,http://www.booking.com/hotel/ru/schastie-na-rubinsteina.ru.html?aid=315714,minihotels@mail.ru,,Беспл. Парковка; Маршрутный автобус; Трансфер из/до аэропорта; Wi-Fi,59.929389,30.344533
12475,ТОАЗ-ОТЕЛЬ,мини-отель,20,41,"191014, Санкт-Петербург, Сапёрный пер., ","Санкт-Петербург, Саперный переулок",Санкт-Петербург,Центральный,,Саперный переулок,,Чернышевская,Кировско-Выборгская линия,,59.944436,30.359975,+7(812)3295301;,,http://hoteltoaz.ru/,20minihotels@mail.ru toaz@mail.ru,"В каждом номере имеется: телефон с междугородней и международной связью, телевизор со спутниковыми телеканалами на любой вкус, холодильник. В номерах категории ""Люкс"" - кондиционер.

К услугам гостей конференц-зал на 48 мест.","•заказ авиа- и ж/д. билетов

•х/чистка и стирка белья
•Wi-Fi интернет",59.940974,30.359499
12476,ТРОИЦКИЙ,мини-отель,42,55,"191002, Санкт-Петербург, Загородный пр., 10","Санкт-Петербург, Загородный проспект, 10",Санкт-Петербург,Центральный,,Загородный проспект,10,Владимирская,Кировско-Выборгская линия,,59.927464,30.348172,+7(921)9469906 моб.;,,http://www.mini-otel.info/,zakaz@mini-otel.info 9219469906@mail.ru,"Предоставление сейфа
Прачечная
Кондиционер на этаже
Холодильник на кухне","Индивидуальная косметика
Частная парковка(200 рублей/сутки; требуется предварительный заказ)",59.926481,30.345548
12477,ТУЧКОВ ОТЕЛЬ,мини-отель,13,13,"199178, Санкт-Петербург, В.О., Малый пр., ","Санкт-Петербург, Малый проспект В.О.",Санкт-Петербург,Василеостровский,,Малый проспект В.О.,,Приморская,Невско-Василеостровская линия,2065.0,59.948456,30.234633, +7(812)2402731 ;,,http://tuchkov-hotel.ru/,2402731@mail.ru,,,59.940952,30.253309
12478,У ПЕТРОПАВЛОВКИ,мини-отель,6,12,"197198, Санкт-Петербург, Съезжинская ул., 32-34 ","Санкт-Петербург, Съезжинская улица, 32",Санкт-Петербург,Петроградский,,Съезжинская улица,32,Спортивная,Фрунзенско-Приморская линия,,59.951871,30.290679,+7(812)2320141 ;,,http://www.upetropavlovki.ru/,upetropavlovki@mail.ru,"индивидуальная душевая  кабина и туалет
туалетные принадлежности.
ТВ со спутниковыми каналами
городской телефон с прямым набором","Транспорт до аэропорта
Заказ такси
Обслуживание номеров
Организация экскурсий
Организация  встречи/проводы в аэропорту
Услуги  гладильной
Завтрак в номер
Ужин по предварительному заказу
Цветы и подарки по предварительному заказу.",59.954246,30.303391
12479,У ПЯТИ УГЛОВ,мини-отель,2,2,"191002, Санкт-Петербург, Загородный пр., 28","Санкт-Петербург, Загородный проспект, 28",Санкт-Петербург,Центральный,,Загородный проспект,28,Звенигородская,Фрунзенско-Приморская линия,,59.922282,30.335631, +7(812)9280812 ;,,http://www.krupskiy.ru/,28info@krupskiy.ru,"Двуспальная кровать 
Душ и туалет на этаже для каждого номера свой
Телевизор
Вешалка для одежды
Столик
Чайник
Холодильник на этаже
Микроволновая печь на этаже
Высокоскоростной Wi-Fi
Набор белья
Полотенца
Тапочки",,59.925141,30.340626
12480,У ЭРМИТАЖА,мини-отель,19,36,"191186, Санкт-Петербург, наб. реки Мойки, 42 ","Санкт-Петербург, набережная реки Мойки, 42",Санкт-Петербург,Центральный,,набережная реки Мойки,42,Адмиралтейская,Фрунзенско-Приморская линия,,59.935867,30.31523,+7(812)5713667 ;,,http://hotel-prima.com/,book@bhall.ru,"Бесплатный Wi-Fi в номерах стандарт
Небольшое кафе для завтраков
Визовая поддержка и трансферыЗавтрак (с 7.00 до 10.00)
Пользование городским телефоном","Утюг и гладильная доска (по требованию у портье) Любая справочная информация по Санкт-Петербургу
Аренда автомобилей, теплоходов и катеров
Трансфер
Организация экскурсионного обслуживания по Санкт-Петербургу
Заказ театральных билетов
Доставка железнодорожных и авиабилетов
Скидки в ресторанах города, заказ и доставка ужинов в гостиницу
Услуги прачечной и химчистки
Побудка к определенному времени
Визовая поддержка и регистрация для иностранных граждан",59.93681,30.320458
12481,Учебная гостиница Морского технического колледжа,мини-отель,39,47,"198260, Санкт-Петербург, пр. Народного Ополчения, 189, корп. 1 ","Санкт-Петербург, проспект Народного Ополчения, 189к1",Санкт-Петербург,Кировский,,проспект Народного Ополчения,189к1,,,1.0,,,+7(812)7503787;,+7(812)7502983;,http://mtcgostinica.com/,mtk_gostinica@mail.ru,"На этажах гостиницы имеются комнаты быта, оборудованные современной электробытовой техникой (холодильник, микроволновая печь, чайник, кулер, фен, утюг).","охраняемая автомобильная стоянка (платная), столовая (кроме сб., вс.), а также медпункт",59.824792,30.211116
12482,"УЧЕБНАЯ ГОСТИНИЦА, Санкт-Петербургский технический колледж",мини-отель,300,600,"195067, Санкт-Петербург, Меншиковский пр., 8 ","Санкт-Петербург, Меншиковский проспект, 8",Санкт-Петербург,Калининский,,Меншиковский проспект,8,Академическая,Кировско-Выборгская линия,3822.0,60.012746,30.396079,+7(812)9417549 ;,,http://нет,tkspbtk@yandex.ru,"wi-fi на первом этаже, бытовая комната",завтраки оплачиваются отдельно,59.991894,30.424241
12483,УЮТ,мини-отель,8,14,"198255, Санкт-Петербург, ул. Лёни Голикова, 2 ","Санкт-Петербург, улица Лени Голикова, 2",Санкт-Петербург,Кировский район,,улица Лени Голикова,2,Проспект Ветеранов,Кировско-Выборгская линия,,59.84211,30.250588,+7(812)7534018;,,http://нет,нет,отсутствуют,отсутствуют,59.847874,30.229612
12484,УЮТНАЯ,мини-отель,21,65,"196655, Санкт-Петербург, Колпино, ул. Труда, 17-а, вход со двора ","Санкт-Петербург, Колпино, улица Труда, 17А",Санкт-Петербург,Колпинский,,улица Труда,17А,,,1.0,,,+7(812)4617008 ;,,,yuthotel@yandex.ru,"•современная полностью оборудованная кухня: стиральная машина, холодильник, плита, печь СВЧ и все необходимые принадлежности
•бесплатная парковка
•Фен, утюг, чайник - администратор предоставит бесплатно по Вашей просьбе
•Бесплатный Wi-fi                                         •Бесплатная доставка блюд из меню ресторана «Япоша»
•Бесплатный вход в ночной клуб «Абсент-бар»",•Дополнительный час в сауне «Пирамида» (при заказе 4-х или 5-ти часов на двоих),59.748355,30.612034
12485,ФИЛИППОВ-ОТЕЛЬ,мини-отель,7,16,"191024, Санкт-Петербург, Невский пр., 142, пом. 86 ","Санкт-Петербург, Невский проспект, 142",Санкт-Петербург,Центральный,,Невский проспект,142,Площадь Восстания,Кировско-Выборгская линия,,59.931517,30.360559,+7(812)2745363 ;,,http://filippovhotel.ru,info@filippovhotel.ru,"Кондиционер, письменный стол, бесплатный Wi-Fi,  телефон, телевизор, холодильник. Ванная в номерах с душевой кабиной, фен.
Сейф у администратора. Утром в гостиной сервируют завтрак, а так же по желанию неограниченно чай и кофе в течение дня.","встреча-проводы на вокзалах и в аэропорту Санкт-Петербурга, заказ трансфера по городу;
организация экскурсий по городу и пригородам, дворцам, музеям Санкт-Петербурга;
заказ билетов в театры и на концерты;
бронирование авиа и железнодорожных билетов.
Нашим иностранным гостям отель оказывает визовую поддержку, производится регистрация миграционных карт в УФМС России, предоставляются услуги гида и переводчика.
В гостинице доступны услуги прачечной и химчистки, камера хранения, для наших маленьких гостей может быть заказана персональная няня.
Круглосуточно осуществляется online бронирование, возможна оплата услуг по кредитным картам.",59.929655,30.369372
12486,Фонтанка Инн,мини-отель,3,10,"197101, Санкт-Петербург, наб. реки Фонтанки, 19 ","Санкт-Петербург, набережная реки Фонтанки, 19",Санкт-Петербург,Центральный,,набережная реки Фонтанки,19,Гостиный Двор,Невско-Василеостровская линия,,59.933938,30.333745,+7(812)2727023 ;,,http://anichkovbridge.com,ian@anichkovbridge.com,"•Бронирование номеров 
•Бронирование квартир на длительный и короткий срок 
 Во всех комнатах имеется доступ в интернет, кабельное телевидение, сейф, возможность приготовления чая и кофе.","•Визовая поддержка 
•Приглашение и подтверждение бронирования жилья 
•Регистрация
•Трансфер от аэропорта/ж.д. станции 
•Заказ такси 
•Организация экскурсий 
•Услуги переводчика",59.935507,30.343204
12487,"ФОНТАНКА, 99",мини-отель,4,8,"190031, Санкт-Петербург, наб. реки Фонтанки, 99 ","Санкт-Петербург, набережная реки Фонтанки, 99",Санкт-Петербург,Центральный,,набережная реки Фонтанки,99,Спасская,Правобережная линия,,59.926575,30.319839,+7(812)3104731 ;,,http://hotel-fontanka.ru,mail@hotel-fontanka.ru,,виза                                                                       регистрация                                                                            бар                                                                             организация экскурсий                                             платная  охраняемая автостоянка,59.923685,30.321527
12488,ФОРТ Р,мини-отель,8,18,"194362, Санкт-Петербург, пос. Парголово, ул. Шишкина, 64, корп. 2 ","Санкт-Петербург, поселок Парголово, улица Шишкина, 64к2",Санкт-Петербург,Выборгский,,улица Шишкина,64к2,,,1.0,,,+7(812)9243664;,,,fortr@yandex.ru,"Тихое место, окруженное сосновым лесом, включает в себя не только гостиницу, но и банный комплекс, а также банкетный зал-ресторан.",,60.089153,30.274608
12489,ФОРТЕЦИЯ ПИТЕР,мини-отель,8,11,"191186, Санкт-Петербург, Миллионная ул., 29, вход со двора ","Санкт-Петербург, Миллионная улица, 29",Санкт-Петербург,Центральный,,Миллионная улица,29,Адмиралтейская,Фрунзенско-Приморская линия,,59.935867,30.31523,+7(812)3150875 ;,,,fortecia-peter@rambler.ru,"Wi-Fi
парковка
круглосуточная стойка регистрации
чай
кофе","Доставка еды и напитков в номер, Трансфер от/до аэропорта, Экскурсионное бюро, Прачечная, Услуги по глажению одежды, Факс/Ксерокопирование, Люкс для новобрачных",59.9423,30.320072
12490,ФОРУМ,мини-отель,4,8,"199004, Санкт-Петербург, 8-я линия, 59-а, вход в арку","Санкт-Петербург, 8-я линия В.О., 59",Санкт-Петербург,Василеостровский,,8-я линия В.О.,59,Василеостровская,Невско-Василеостровская линия,,59.942516,30.278274,+7(911)1795333;,,,forumvo59@gmail.com,проживание                                                                      завтрак,"Гладильные принадлежности, фен (по запросу), гладильные услуги, трансфер",59.944265,30.274348
12491,ХОЛСТОМЕР,мини-отель,12,12,"191024, Санкт-Петербург, Конная ул., 10","Санкт-Петербург, Конная улица, 10",Санкт-Петербург,Центральный,,Конная улица,10,Площадь Александра Невского 2,Правобережная линия,,59.923563,30.383421, +7(812)3143514 ;,,http://old-spb.ru,kholstomer@old-spb.ru,"Номера с кондиционером и собственной вентиляцией, роскошным санузлом с душевой, мини-баром, видеомагнитофоном, беспроводным, быстрым интернетом, телефоном. Цены включают в себя вкусный и сытный завтрак с чашечкой ароматного кофе ""Лавацио"".","- сушка обуви и одежды;
- прачечная;
- прокат видеокассет;
- очищенная питьевая вода;
- дополнительная кровать;
- регистрация;
- сейфинг;
- свежая пресса;
- телефонные карты;
- авиа и ж/д билеты.",59.928952,30.375247
12492,ЦАРИЦЫН ЛУГ,мини-отель,5,9,"190005, Санкт-Петербург, Московский пр., 53 ","Санкт-Петербург, Московский проспект, 53",Санкт-Петербург,Адмиралтейский,,Московский проспект,53,Фрунзенская,Московско-Петроградская линия,,59.906179,30.31753,+7(812)3179398 ;,,http://goodhotel.su,welcome@goodhotel.su,,"Для гостей мини-отеля мы предлагаем следующие дополнительные услуги:
•Вызов такси 
•Бесплатный беспроводной Интернет
•Побудка к определенному времени 
•Предоставление справочной информации о Санкт-Петербурге 
•Заказ экскурсий, билетов в театры и музеи Санкт-Петербурга и пригородов 
•Заказ ж/д и авиа- билетов 
•Трансфер от аэропорта или вокзала по предварительной договоренности 

Мойка, микроволновая печь, холодильник, чайник, и набор посуды в каждом номере предоставлены бесплатно.",59.911178,30.317225
12493,ЧЁРНОЕ И БЕЛОЕ,мини-отель,14,21,"197706, Санкт-Петербург, Сестрорецк, Приморское шоссе, 238 ","Санкт-Петербург, Сестрорецк, Приморское шоссе, 238",Санкт-Петербург,Курортный,,Приморское шоссе,238,,,1.0,,,+7(812)4347188 ;,,,kafeotel2009@yandex.ru,"Уборка в номерах – через день. А так же по просьбе Постояльцев.

Смена постельного белья 1 раз в пять дней, возможна досрочная платная замена белья и полотенец.

Бесплатные услуги входящие в стоимость проживания:

Вызов скорой помощи и пользование медицинской аптечкой.

Услуга «Будильник» по запросу.

Временное хранение багажа у администрации при въезде и выезде.

Доставка в номер корреспонденции по её получении;

Вызов такси;

Получение справочной информация по городу;

Парковка легкового автомобиля для Постояльцев по согласованию с администрацией.

Пользование посудой, приборами для приготовления пищи включая: холодильник, микроволновую печь, чайник и шкафы для хранения продуктов.

Wi-fi интернет бесплатно по запросу.","Завтрак ""Good morning from White&Black Home""

Чашка чая, кофе (150 гр.)
Овсянаякаша ( 150гр.)
Йогурт (1% 125гр.)
Фрукты ( 100 гр.)
Сыр твердый ,колбаса ( по 40 гр.)
Хлеб,булка ,сливочное масло.
Стоимость завтрака 150 руб./порция

заказ билетов на экскурсии по Санкт-Петербургу и Пригородам.
заказ проката автомобиля Премиум-класса с водителем.
заказ билетов на все развлекательные площадки города (театры, концертные залы, клубы, цирки, закрытые вечеринки)
заказ индивидуального, увлекательного маршрута по городу, расписанного под ваше свободное время (с описанием достопримечательностей)
заказ столика в любом ресторане города.
заказ трансфера аэропорт/вокзал",60.055515,29.976008
12494,ЧЕХОВ,мини-отель,8,16,"191104, Санкт-Петербург, ул. Чехова, 4 ","Санкт-Петербург, улица Чехова, 4",Санкт-Петербург,Центральный,,улица Чехова,4,Маяковская,Невско-Василеостровская линия,,59.931427,30.355178,+7(812)2729626;,,http://tchekhov-hotel.ru, office@tchekhov-hotel.ru,"Интернет, телевизор, душ, кровать (двуспальная или две односпальные) туалет, шкаф, cтол, халат, шампунь,гель для душа, фен, тапочки, мыло","Трансфер. Экскурсии, билеты в театр, концертные залы, заказ билетов в кино. Медицинские обслуживание.  Сейфеу Администратора",59.936936,30.352474
12495,ЧИЖИК-ПЫЖИК,мини-отель,6,12,"199004, Санкт-Петербург, 8-я линия, 45","Санкт-Петербург, 8-я линия В.О., 45",Санкт-Петербург,Василеостровский,,8-я линия В.О.,45,Василеостровская,Невско-Василеостровская линия,,59.942516,30.278274,+7(911)9867777 моб.;,,,3283878@mail.ru,"Постельное бельё, полотенца. Пользование - Интернетом и wi-fi, телевидение, фен, чайник, гладильная доска, утюг. Бесплатные принадлежности – шампунь, гель для душа, туалетная бумага, мыло. Прохладительные  напитки ждут вас в мини-баре.","Трансфер
Экскурсии
Музеи
Театры",59.942038,30.276872
12496,ШАМПАНЬ,мини-отель,8,16,"198330, Санкт-Петербург, Петергофское шоссе, 3, корп. 3 ","Санкт-Петербург, Петергофское шоссе, 3к3",Санкт-Петербург,Красносельский,,Петергофское шоссе,3к3,,,1.0,,,+7(812)9220744;,,,," Круглосуточное обслуживание в номерах
· Услуга «wake-up call»
· Доставка питания в номер
· Удобная парковка
· Заказ такси
· Пользование утюгом, феном, чайником, микроволновой печью
· Wi-Fi интернет;
· Ночной клуб, ресторан, банкетный зал (в здании гостиницы)","Доставка продуктов, Трансфер, Круглосуточная стойка регистрации, Индивидуальная регистрация заезда/отъезда, Прачечная, Услуги по глажению одежды, Дневная уборка номера",59.847218,30.207388
12497,ШЕЛФОРТ ОТЕЛЬ,мини-отель,12,24,"199004, Санкт-Петербург, 3-я линия, 26 ","Санкт-Петербург, 3-я линия В.О., 26",Санкт-Петербург,Василеостровский,,3-я линия В.О.,26,Василеостровская,Невско-Василеостровская линия,,59.942516,30.278274,+7(812)3280555;,,, hotel@shelfort.ru,"парковка
завтрак
обслуживание номеров
Wi-Fi","Доставка еды и напитков в номер, Упакованные ланчи, Трансфер, Трансфер от/до аэропорта,  Экскурсионное бюро, Услуги по продаже билетов, Камера хранения багажа, Общий лаунж/гостиная с телевизором, Няня/Услуги по уходу за детьми, Прачечная, Услуги по глажению одежды, Конференц-зал/Банкетный зал, Факс/Ксерокопирование, Люкс для новобрачных",59.943422,30.28449
12498,ШУВАЛОFF ОТЕЛЬ,мини-отель,19,38,"194362, Санкт-Петербург, пос. Парголово, ул. Ломоносова, 102  ","Санкт-Петербург, поселок Парголово, улица Ломоносова, 102",Санкт-Петербург,Выборгский район,,улица Ломоносова,102,,,1.0,,,+7(812)7157711 ;,,,shuvaloff-hotel@mail.ru,*завтрак       *Wi-Fi,"•Охраняемая парковка на территории отеля 
•Трансфер от / до аэропорта или вокзала 
•Под заказ - блюда домашней кухни
•Доставка блюд японской кухни из ресторана ""Токио-Сити""
•Номер для новобрачных – свадебный пакет
•Две бани (сауна или русская парная; по записи) — до 6-ти и до 10-ти человек
•Теннисные корты (по записи): 1 грунтовый открытый, 1 хард закрытый
•Бильярд (по записи)
•Организация пикников
•Конные прогулки (по записи)",60.075295,30.293509
12499,ЭГОИСТ,мини-отель,8,12,"г.Санкт-Петербург,Владимирский проспект 1/47","Санкт-Петербург, Владимирский проспект, 1/47",Санкт-Петербург,Центральный район,муниципальный округ Владимирский,Владимирский проспект,1/47,Достоевская,Правобережная линия,,59.928185,30.346204,+7(812)5758994;,,,reception@hotelegoeast.ru,"• завтрак
 • Wi-Fi
 • сейф
 • спутниковое телевидение
 • система климат-контроля","•прачечная 
•гладильная доска
•бесплатный Wi-Fi
•вызов такси и автобусов
•камеры хранения
•доставка цветов",59.932229,30.347112
12500,ЭДЕЛЬВЕЙС,мини-отель,15,15,"191025, Санкт-Петербург, Невский пр., 98-а ","Санкт-Петербург, Невский проспект, 98А",Санкт-Петербург,Центральный район,муниципальный округ Литейный,Невский проспект,98А,Маяковская,Невско-Василеостровская линия,,59.931427,30.355178,+7(812)2739831 ;,,,edelweiss-hotel@mail.ru,"Круглосуточная служба размещения и бронирования;
Заезд 12:00, выезд 11:00;
Раннее размещение - по мере освобождения номеров, бесплатно;
Поздний выезд – по предварительному бронированию (стоимость продления номера до 18:00 – половина стоимости  суточного  проживания в данном номере после 18:00 – стоимость одних суток проживания);
Английский завтрак с 8:00 до 11:00, входит в стоимость проживания (сок, йогурт, сыр, масло, джем, нарезка, тосты, чай/кофе,  блины / яичница / вареные яйца);
Завтрак по желанию клиента в номере или в холле;
Беспроводной интернет Wi-Fi;
Сейф на рецепшион;
Служба обслуживания в номерах;
Копировальные и факсимильные услуги;","Трансфер
Экскурсии",59.932324,30.355349
12501,ЭКОЛОГИЯ,мини-отель,6,12,"191036, Санкт-Петербург, Дегтярная ул., 15 ","Санкт-Петербург, Дегтярная улица, 15",Санкт-Петербург,Центральный,,Дегтярная улица,15,Площадь Восстания,Кировско-Выборгская линия,,59.931517,30.360559,+7(812)2710008;,,,nataliya.zinovieva@ya.ru," •Предоставление справочной информации о Санкт-Петербурге.
•Круглосуточная служба размещения.
•Сейф у администратора.
•Утюг и гладильная доска, фен.
•Городской телефон в каждом номере
","•Трансфер.
•Интернет.
•Услуги прачечной и химчистки.
•Организация экскурсий.
•Доставка авиа и ж/д билетов.
•заказ билетов в театры и музеи.
•Копировальные услуги.",59.933785,30.374061
12502,ЭЛЕГИЯ,мини-отель,15,15,"191002, Санкт-Петербург, ул. Рубинштейна, 18/5 ","Санкт-Петербург, улица Рубинштейна, 18/5",Санкт-Петербург,Центральный,,улица Рубинштейна,18/5,Достоевская,Правобережная линия,,59.928185,30.346204,+7(812)7132395 ;,,,info@acme-hotel.com,"Гладильная доска предоставляется по запросу бесплатно
Завтрак (включен в стоимость номера) 
Сейф на ресепшене бесплатно","Доставка еды и напитков в номер, Трансфер,  Ускоренная регистрация заезда/отъезда, Экскурсионное бюро, Услуги по продаже билетов, Камера хранения багажа, Индивидуальная регистрация заезда/отъезда, Прачечная, Химчистка, Услуги по глажению одежды, Факс/Ксерокопирование",59.930313,30.345252
12503,ЭРИДАН,мини-отель,5,5,"190068, Санкт-Петербург, Вознесенский пр., 41 ","Санкт-Петербург, Вознесенский проспект, 41",Санкт-Петербург,Адмиралтейский,,Вознесенский проспект,41,Садовая,Фрунзенско-Приморская линия,,59.926476,30.318213,+7(812)9249439;,,,,"завтрак
интернет
чай
кофе
парковка
кондиционер","Отопление, гладильные принадлежности, фен (по запросу), стиральная машина, трансфер",59.923121,30.307388
12504,ЭСТЕРА,мини-отель,5,8,"191119, Санкт-Петербург, ул. Константина Заслонова, 9 ","Санкт-Петербург, улица Константина Заслонова, 9",Санкт-Петербург,Центральный,,улица Константина Заслонова,9,Лиговский Проспект,Правобережная линия,,59.920745,30.35516,+7(812)5757131 ;,,,esterhotel@mail.ru,"В стоимость отеля входит горячий завтрак, чай/кофе в течение дня. 
Одно- / двухместные номера, соответствующие европейским стандартам. 
В номерах имеются: телевизор, DVD, сейф, холодильник, доступ в интернет, Wi-Fi, халаты, фен, тапочки. При необходимости предоставляется дополнительная кровать. прикроватные тумбочки, туалетный столик c зеркалом, шкаф, TV,  DVD, холодильник, кресло-кровать, сейф, халат, тапочки, фен и зонт (по требованию), туалетная комната с душевой кабиной, туалетные принадлежности (шампунь, мыло, гель для душа), полотенца, Wi-Fi","Трансфер, Трансфер от/до аэропорта,  Услуги консьержа, Общий лаунж/гостиная с телевизором, Факс/Ксерокопирование",59.920451,30.350516
12505,ЮГО-ЗАПАДНАЯ,мини-отель,27,36,"198328, Санкт-Петербург, ул. Рихарда Зорге, 11, корп. 2 ","Санкт-Петербург, улица Рихарда Зорге, 11к3",Санкт-Петербург,Красносельский,,улица Рихарда Зорге,11к3,,,1.0,,,+7(812)7456686 ;,,,motel@motelspb.ru irina@ira.spb.ru,"парковка
интернет
сейф",заказ такси,59.850373,30.187193
12506,ЮЖНО-ПРИМОРСКИЙ,мини-отель,19,38,"198328, Санкт-Петербург, ул. Доблести, 27 ","Санкт-Петербург, улица Доблести, 27",Санкт-Петербург,Красносельский,,улица Доблести,27,,,1.0,,,,,,2944845@mail.ru,"кухня
завтрак в номер
парковка","экскурсии
трансфер",59.85092,30.174851
12507,ЮЛАНА,мини-отель,8,13,"191036, Санкт-Петербург, Орловский пер., 1/4, пом. 9 ","Санкт-Петербург, Орловский переулок, 1/4",Санкт-Петербург,Центральный,,Орловский переулок,1/4,Площадь Восстания,Кировско-Выборгская линия,342.0,59.931517,30.360559,+7(812)7120797 ;,,,ulana@mail.ru,"Обслуживающий персонал мини-отеля предоставит гостям постельное белье и полотенца.  Отель предоставляет бесплатный доступ к интернету Wi-Fi, также можно взять в аренду ноутбук. Хостел располагает двумя санузлами (на этаже) и оборудованной кухней, в которой есть все необходимое для самостоятельного приготовления пищи: обеденные столы, посуда, газовая плита, СВЧ-печь, электрочайник. В столовой зоне установлен телевизор.","Во временное пользование можно взять гладильную доску, утюг и фен.",59.932004,30.363048
12508,ЮЛАНА,мини-отель,5,34,"191028, Санкт-Петербург, Фурштатская ул., 2/12, пом. 17 ","Санкт-Петербург, Фурштатская улица, 2/12",Санкт-Петербург,Центральный,,Фурштатская улица,2/12,Чернышевская,Кировско-Выборгская линия,715.0,59.944436,30.359975,+7(812)7120797 ;,,,ulana@mail.ru,"Обслуживающий персонал мини-отеля предоставит гостям постельное белье и полотенца.  Отель предоставляет бесплатный доступ к интернету Wi-Fi, также можно взять в аренду ноутбук. Хостел располагает двумя санузлами (на этаже) и оборудованной кухней, в которой есть все необходимое для самостоятельного приготовления пищи: обеденные столы, посуда, газовая плита, СВЧ-печь, электрочайник. В столовой зоне установлен телевизор.","Во временное пользование можно взять гладильную доску, утюг и фен.",59.945657,30.349205
12509,ЮЛАНА,мини-отель,4,8,"191025, Санкт-Петербург, Невский пр., 102, пом. 52 (812)7120797 ulana@mail.ru","Санкт-Петербург, Невский проспект, 102",Санкт-Петербург,Центральный,,Невский проспект,102,Маяковская,Невско-Василеостровская линия,114.0,59.931427,30.355178,+7(812)7120797 ;,,,ulana@mail.ru,"Спальные места: двухъярусные кровати.
Евроремонт, телевизор в каждой комнате, ванная комната, два санузла.
Оборудованная кухня: обеденные столы, газовая плита, микроволновая печь, холодильник.","Кухня оборудована бытовой техникой (микроволновая печь, электрический чайник, газовая плита, холодильник), а также посудой и обеденными столами.",59.93199,30.356158
12510,"Учебная мастреская                    ""Гостиница""Юность"" ""Колледжа туризма Санкт-Петербурга""",мини-отель,45,110,"г. Санкт-Петербург, ул. Бумажная, дом 7","Санкт-Петербург, Бумажная улица, 7",Санкт-Петербург,Адмиралтейский,,Бумажная улица,7,Нарвская,Кировско-Выборгская линия,674.0,59.901111,30.275004,+7(812)2342312;,,,l-travel@mail.ru,"• завтрак
 • Wi-Fi",• конференц-зала на 20 человек,59.905154,30.26947
12511,ЯНИНА,мини-отель,23,35,"191002, Санкт-Петербург, ул. Марата, 33, литер А п.7Н ","Санкт-Петербург, Центральный район, улица Марата, 5/21",Санкт-Петербург,Центральный,,,,Маяковская,Невско-Василеостровская линия,152.0,59.931427,30.355178,+7(812)5727354 ;,,,yanina-hotel@mail.ru,Отель предлагает своим гостям бесплатный трансфер от Железнодорожных вокзалов и Автобусных вокзалов до гостиницы (только при условии проживании в отеле Янина) и от гостиницы на вокзалы Санкт-Петербурга. ,"трансфер
экскурсии",59.930192,30.353948
12512,НАРВСКАЯ,Мини-отель,,24,"190020, Санкт-Петербург, наб. Обводного канала, 142/16, литера Б,  ","Санкт-Петербург, набережная Обводного канала, 142",Санкт-Петербург,Адмиралтейский,,набережная Обводного канала,142,Нарвская,Кировско-Выборгская линия,979.0,59.901111,30.275004,+7(812)7869981;,,http://otel-spb.ru/hotels/narvskaya/,otel_nar@mail.ru,"бесплатный Wi-Fi интернет;
.оборудованная кухня;
сейф у администратора;
парковка (бесплатная косметические принадлежности, фен;
стиральная машина;","визовая поддержка и регистрация иностранных граждан;
экскурсии и туристические программы;
заказ билетов;
 платная охраняемая парковка

трансфер",59.908678,30.275597
12513,ЗНАМЕНСКАЯ,мини-отель,27,63,"191036, Санкт-Петербург, 1-я Советская ул., 10-а ","Санкт-Петербург, 1-я Советская улица, 10",Санкт-Петербург,Центральный район,,1-я Советская улица,10,Площадь Восстания,Кировско-Выборгская линия,294.0,59.931517,30.360559,+7(812)7175560;,,http://www.otel-spb.ru/hotels/znamenskaya/,piterdom@mail.ru,"Wi-Fi,Кухня ,заказ такси прачечная  ","Экскурсии , такси , сувениры",59.931643,30.364898
12514,ЗАРАЙЯ,мини-отель,20,120,"196105, Санкт-Петербург, Яковлевский пер., 2","Санкт-Петербург, Яковлевский переулок, 2",Санкт-Петербург,Московский район,,Яковлевский переулок,2,Электросила,Московско-Петроградская линия,719.0,59.879109,30.318707,+7(812)3875201;,,,,"wi-fi,кухня ,утюг ,  заказ билетов ,вызов такси , заказ экскурсий",,59.875018,30.324133
